0.9022520600	2846 816
0.9016191084	4238 4239
0.9009571915	1036 2185
0.9003527273	9126 3970
0.8998699774	689 2751
0.8997634597	897 5523 3502
0.8990733139	4285 5509
0.8977715601	1053 6170
0.8972290769	3243 4959
0.8968317920	1454 1455
0.8954010231	3914 3915
0.8949828093	931 967
0.8939559743	8828 5324 697
0.8925541539	3702 3704
0.8898597455	4058 418 3599
0.8894128533	6211 108 4517
0.8893236706	1034 2238 2826 340
0.8890431685	14232 1006
0.8888506970	4031 4491
0.8887065238	1053 3628 340
0.8885549881	5773 919
0.8878127787	3885 3213
0.8876199729	1053 3628 340 151
0.8853007519	1590 897
0.8852293980	7210 151
0.8845727284	671 340
0.8835589345	59 3530
0.8833120890	7756 3525
0.8824975173	3532 1035
0.8823187535	5532 3848
0.8817780821	2703 909
0.8814755231	1841 656
0.8810694627	3714 3213
0.8804182905	3304 3501
0.8788798846	3025 2826
0.8779209006	6816 4254
0.8766796719	325 3956
0.8756182029	249 1304 101
0.8748063263	144 1725 1036
0.8735665575	5906 7978
0.8729819278	151 7910
0.8727890154	1130 3769
0.8726864516	8828 5324 697 3135
0.8721886761	205 4064 113
0.8702161356	808 1322
0.8699178293	761 5324 697
0.8689227138	3668 3499
0.8667610778	2206 635
0.8665463412	3780 3968 3990 3599
0.8662847564	3400 2674
0.8658998461	4070 3599
0.8651894780	3025 3504
0.8649934956	3790 3742
0.8647774577	1159 3525 5661
0.8638714267	251 820
0.8636016034	9016 656
0.8635074832	3505 17632
0.8613788902	7758 3525
0.8611455858	2275 1805
0.8608719943	4070 6194
0.8605026956	3516 1224
0.8589571859	2403 2405 113
0.8578909921	2319 4677
0.8575957977	2826 1301
0.8573949443	2014 4677
0.8559331092	1013 3653
0.8551173740	867 564
0.8550251699	950 4083
0.8541890247	4191 3840 890 3499
0.8536987263	91 326
0.8514203072	290 3857
0.8511882095	1786 3870
0.8507558812	1786 3920
0.8485165180	7909 113 1441
0.8482907843	1031 4043 807
0.8477903890	3840 3915
0.8467671037	1590 2356
0.8464813179	9153 7083 1805
0.8459741799	3830 3495
0.8456297351	4617 3532
0.8452857249	3809 3810
0.8451900541	4659 3852
0.8449278144	350 1805
0.8446394403	6426 3565
0.8444538529	1034 1075
0.8424256576	6189 6139
0.8414133284	418 3511
0.8414062087	3840 3525
0.8398441338	4052 326
0.8394189127	5490 3499
0.8393330355	867 2218
0.8386720579	1159 708
0.8384846627	4401 1805
0.8378288957	2798 4261 360
0.8371934263	1885 3915
0.8356915317	4867 199
0.8349823675	6832 5728
0.8348074396	3792 286
0.8322835666	3114 708
0.8319959058	3499 360
0.8318407557	5897 59
0.8311216455	3914 3525
